STOP_ID,STOP_FRISK_TIME,YEAR,MONTH,DAY,STOP_WAS_INITIATED,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,FIREARM_FLAG,WEAPON_FOUND_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_BORO_NAME
1,1:12:00,2020,January,Wednesday,Based on Radio Run,1,CPW,2,Y,(null),Y,Y,CPW,N,(null),Y,Y,N,Y,(null),Y,CALM,18,MALE,BLACK,6.1,160,THN,BLK,BLK,10028,MANHATTAN
2,1:11:00,2020,January,Wednesday,Based on Radio Run,1,CPW,5,Y,(null),Y,N,(null),N,(null),Y,N,Y,Y,(null),N,COMPLIANT,18,MALE,BLACK,6.2,180,THN,BRO,BLK,10028,MANHATTAN
3,1:11:00,2020,January,Wednesday,Based on Radio Run,1,CPW,5,Y,(null),Y,N,(null),N,(null),Y,N,Y,Y,(null),N,COMPLIANT,17,MALE,WHITE HISPANIC,5.1,165,MED,BRO,BLK,10028,MANHATTAN
4,10:18:00,2020,January,Wednesday,Based on Radio Run,1,MENACING,10,Y,(null),N,Y,MENACING,N,(null),Y,Y,Y,Y,(null),N,COOPERATIVE,33,MALE,BLACK,6,220,MED,BRO,BLK,11208,BROOKLYN
5,8:45:00,2020,January,Wednesday,Based on Radio Run,0,BURGLARY,15,Y,(null),N,N,(null),N,(null),N,N,N,N,(null),N,UPSET,40,FEMALE,WHITE,5.9,170,MED,BRO,BLN,11215,BROOKLYN
6,0:00:00,2020,January,Wednesday,Based on Radio Run,1,CPW,5,Y,(null),Y,N,(null),N,(null),Y,N,N,N,(null),N,,19,MALE,BLACK,5.1,170,(null),(null),BLK,10028,MANHATTAN
7,1:03:00,2020,January,Wednesday,Based on Radio Run,1,CPW,5,Y,(null),Y,N,(null),N,(null),Y,N,N,N,(null),N,,18,MALE,BLACK,5.1,165,(null),(null),BLK,10028,MANHATTAN
8,1:03:00,2020,January,Wednesday,Based on Radio Run,1,CPW,5,Y,(null),Y,N,(null),N,(null),Y,N,N,N,(null),N,,18,MALE,BLACK,5.1,165,(null),(null),BLK,10028,MANHATTAN
9,1:03:00,2020,January,Wednesday,Based on Radio Run,1,CPW,5,Y,(null),Y,N,(null),N,(null),Y,N,N,N,(null),N,,19,MALE,BLACK,6.2,180,(null),(null),BLK,10028,MANHATTAN
10,1:03:00,2020,January,Wednesday,Based on Radio Run,1,CPW,5,Y,(null),Y,N,(null),N,(null),Y,N,N,N,(null),N,,19,FEMALE,(null),5.8,200,(null),(null),BRO,10028,MANHATTAN
11,1:03:00,2020,January,Wednesday,Based on Radio Run,1,CPW,5,Y,(null),Y,N,(null),N,(null),Y,N,N,N,(null),N,,19,MALE,BLACK,5.1,190,(null),(null),BLK,10028,MANHATTAN
12,17:24:00,2020,January,Wednesday,Based on Radio Run,1,CPW,6,Y,(null),N,N,(null),N,(null),Y,Y,N,Y,(null),N,FRUSTRATED,39,MALE,BLACK,5.1,150,THN,BRO,BLK,10030,MANHATTAN
13,16:16:00,2020,January,Wednesday,Based on Radio Run,2,GRAND LARCENY,6,Y,(null),N,Y,GRAND LARCENY,N,(null),Y,Y,Y,Y,(null),N,CALM,38,MALE,BLACK,5.11,175,MED,BLK,BLK,11201,BROOKLYN
14,21:06:00,2020,January,Wednesday,Based on Radio Run,1,CPW,16,Y,(null),N,N,(null),N,(null),Y,N,N,N,(null),N,ANGRY,22,MALE,WHITE HISPANIC,5.1,210,HEA,BRO,BLK,11367,QUEENS
15,1:12:00,2020,January,Thursday,Based on Radio Run,2,BURGLARY,10,Y,(null),Y,Y,BURGLARY,N,(null),Y,N,N,N,(null),N,NERVOUS,16,MALE,WHITE HISPANIC,5.6,120,THN,BRO,BRO,10454,BRONX
16,1:14:00,2020,January,Thursday,Based on Radio Run,3,BURGLARY,5,N,SUSPEC,Y,Y,CRIMINAL TRESPASS,N,(null),Y,Y,N,(,(null),N,NERVOUS,19,MALE,WHITE HISPANIC,5.8,160,THN,BRO,BLK,10454,BRONX
17,15:12:00,2020,January,Wednesday,Based on Radio Run,0,CPW,10,Y,(null),Y,N,(null),N,(null),Y,N,N,Y,(null),N,COOPERATIVE,16,MALE,BLACK,5.7,120,THN,BRO,BLK,11207,BROOKLYN
